dolor torácico de origen cardíaco	R07.9	426396005
dolor torácico de origen cardíaco (hallazgo)	R07.9	426396005
infección sistémica	P36.9	91302008
sepsis	P36.9	91302008
sepsis (trastorno)	P36.9	91302008
forma anormal congénita del cerebro	Q04.8	92905000
forma anormal congénita del cerebro (trastorno)	Q04.8	92905000
infarto pulmonar hemorrágico	I26.99	83727005
infarto pulmonar hemorrágico (trastorno)	I26.99	83727005
irregularidades en el desgaste del diente	K03.0	53042006
irregularidades en el desgaste del diente (trastorno)	K03.0	53042006
prostatorrea	N42.89	74117008
prostatorrea (trastorno)	N42.89	74117008
espasmo de músculo esquelético del tórax	M62.830	444920009
espasmo de músculo esquelético del tórax (hallazgo)	M62.830	444920009
fístula pericárdica	I31.8	60254004
fístula pericárdica (trastorno)	I31.8	60254004
abstinencia no complicada de sedantes, hipnóticos y/o ansiolíticos	F13.930	10028000
abstinencia no complicada de sedantes, hipnóticos y/o ansiolíticos (trastorno)	F13.930	10028000
víctima de intimidación fuera de la escuela (hallazgo)	Z60.5	428454002
víctima de intimidación fuera de la escuela	Z60.5	428454002
alteración de la coloración escleral (trastorno)	Q79.69	95798008
alteración de la coloración escleral	Q79.69	95798008
respuesta irrelevante	R41.89	9288000
respuesta irrelevante (hallazgo)	R41.89	9288000
mal funcionamiento de traqueostomía	J95.03	709146000
mal funcionamiento de traqueostomía (trastorno)	J95.03	709146000
estenosis de agujero vertebral (trastorno)	M48.061	764271000
estenosis de agujero vertebral	M48.061	764271000
contusión de pared torácica derecha (trastorno)	S20.211?	11850561000119105
contusión de pared torácica derecha	S20.211?	11850561000119105
estenosis de la válvula mitral	I05.0	79619009
estenosis mitral	I05.0	79619009
estenosis de la válvula mitral (trastorno)	I05.0	79619009
estenosis del conducto raquídeo de la región torácica (trastorno)	M48.04	41341006
estenosis del conducto raquídeo de la región torácica	M48.04	41341006
estenosis del conducto vertebral de la región torácica	M48.04	41341006
parapsoriasis en placas pequeñas	L41.3	23854007
parasoriasis en placas pequeñas	L41.3	23854007
parapsoriasis en placas pequeñas (trastorno)	L41.3	23854007
aborto espontáneo con embolia pulmonar	O03.7	82153002
aborto espontáneo con embolia pulmonar (trastorno)	O03.7	82153002
efecto tardío de lesión traumática de cerebro (trastorno)	S06.2X9S	429656004
efecto tardío de lesión traumática de cerebro	S06.2X9S	429656004
laceración del tronco encefálico sin herida intracraneal abierta, con pérdida prolongada de consciencia (más de 24 horas) y recuperación del nivel de consciencia preexistente (trastorno)	S06.385?	70686002
laceración del tronco encefálico sin herida intracraneal abierta, con pérdida prolongada de consciencia (más de 24 horas) y recuperación del nivel de consciencia preexistente	S06.385?	70686002
excoriación de la piel	L70.5	247444006
